rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name
64997353,240,7799,2017-05-15 05:52:00 UTC,803,"Southwark Street, Bankside",2017-05-15 05:48:00 UTC,125,"Borough High Street, The Borough"
64997354,780,14411,2017-05-15 06:01:00 UTC,71,"Newgate Street , St. Paul's",2017-05-15 05:48:00 UTC,138,"Green Street, Mayfair"
64997355,2640,2815,2017-05-15 06:32:00 UTC,360,"Howick Place, Westminster",2017-05-15 05:48:00 UTC,657,"Blythe Road West, Shepherd's Bush"
64997356,540,6751,2017-05-15 05:57:00 UTC,817,"Riverlight South, Nine Elms",2017-05-15 05:48:00 UTC,680,"Westbridge Road, Battersea"
64997357,540,11456,2017-05-15 05:58:00 UTC,233,"Pall Mall East, West End",2017-05-15 05:49:00 UTC,138,"Green Street, Mayfair"
64997358,4200,12282,2017-05-15 06:59:00 UTC,104,"Crosswall, Tower",2017-05-15 05:49:00 UTC,104,"Crosswall, Tower"
64997359,600,14187,2017-05-15 05:59:00 UTC,237,"Dock Street, Wapping",2017-05-15 05:49:00 UTC,54,"Golden Lane, Barbican"
64997360,540,1099,2017-05-15 05:58:00 UTC,356,"South Kensington Station, South Kensington",2017-05-15 05:49:00 UTC,46626,"Normand Park, West Kensington"
64997361,660,2198,2017-05-15 06:00:00 UTC,65,"Gower Place , Euston",2017-05-15 05:49:00 UTC,351,"Macclesfield Rd, St Lukes"
64997362,540,159,2017-05-15 05:58:00 UTC,64,"William IV Street, Strand",2017-05-15 05:49:00 UTC,81,"Great Titchfield Street, Fitzrovia"
64997363,300,7283,2017-05-15 05:54:00 UTC,690,"Stanley Grove, Battersea",2017-05-15 05:49:00 UTC,612,"Wandsworth Rd, Isley Court, Wandsworth Road"
64997364,1380,13936,2017-05-15 06:13:00 UTC,711,"Everington Street, Fulham",2017-05-15 05:50:00 UTC,146,"Vauxhall Bridge , Pimlico"
64997365,540,5082,2017-05-15 05:59:00 UTC,200,"LMU Commercial Road, Whitechapel",2017-05-15 05:50:00 UTC,32,"Leonard Circus , Shoreditch"
64997366,420,4490,2017-05-15 05:57:00 UTC,587,"Monument Street, Monument",2017-05-15 05:50:00 UTC,119,"Bath Street, St. Luke's"
64997367,960,8931,2017-05-15 06:06:00 UTC,41,"Sun Street, Liverpool Street",2017-05-15 05:50:00 UTC,374,"Waterloo Station 1, Waterloo"
64997368,780,14660,2017-05-15 06:03:00 UTC,177,"Ashley Place, Victoria",2017-05-15 05:50:00 UTC,290,"Winsland Street, Paddington"
